Index,Description
229,This is a T2 weighted image of a brain with a meningioma tumor.
230,This is a T2 weighted image of a brain with a tumor.
231,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
232,This is a T2 weighted image of a brain with a glioma tumor.
233,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
234,This is a T1 weighted image of a brain with a tumor.
235,This is a T2 weighted image of a brain with a tumor.
236,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
237,This is a T2 weighted image of a brain with a cystic lesion.
238,This is a T2 weighted image of a brain with a glioma tumor.
239,This is a T2 weighted image of a brain with a glioma tumor.
240,This is a T2 weighted image of a brain with a tumor.
241,This is a T2 weighted image of a brain with a cystic lesion.
242,This is a T2 weighted image of a brain with a meningioma tumor.
243,This is a T2 weighted image of a brain with a meningioma tumor.
244,This is a T2 weighted image of a brain with a meningioma tumor.
245,This is a T2 weighted image of a brain with a tumor.
246,This is a T2 weighted image of a brain with a cystic lesion.
247,This is a T2 weighted image of a brain with a meningioma tumor.
248,This is a T2 weighted image of a brain with a glioma tumor.
249,This is a T2 weighted image of a brain with a glioma tumor.
250,This is a T2 weighted image of a brain with a tumor.
251,This is a T2 weighted image of a brain with a tumor.
252,This is a T1 weighted image of a brain with a meningioma tumor.
253,This is a T2 weighted image of a brain with a meningioma tumor.
254,This is a T2 weighted image of a brain with a glioma tumor.
255,This is a T1 weighted image of a brain with a glioma tumor.
256,This is a T2 weighted image of a brain with a cystic tumor.
257,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
258,This is a T2 weighted image of a brain with a cystic tumor.
259,This is a T2 weighted image of a brain with a glioma tumor.
260,This is a T1 weighted image of a brain with a pineal tumor.
261,This is a T1 weighted image of a brain with a glioma tumor.
262,This is a T2 weighted image of a brain with a meningioma tumor.
263,This is a T2 weighted image of a brain with a meningioma tumor.
264,This is a T2 weighted image of a brain with a tumor.
265,This is a T2 weighted image of a brain with a tumor.
266,This is a T2 weighted image of a brain with glioma tumor.
267,This is a T2 weighted image of a brain with a tumor.
268,This is a T2 weighted image of a brain with a meningioma tumor.
269,This is a T1 weighted image of a brain with a cystic tumor.
270,This is a T1 weighted image of a brain with a meningioma tumor.
271,This is a T2 weighted image of a brain with a glioma tumor.
272,This is a T2 weighted image of a brain with a meningioma tumor.
273,This is a T2 weighted image of a brain with a cystic lesion.
274,This is a T2 weighted image of a brain with a cystic tumor.
275,This is a T2 weighted image of a brain with a cystic tumor.
276,This is a T2 weighted image of a brain with a glioma tumor.
277,This is a T2 weighted image of a brain with a tumor.
278,This is a T1 weighted image of a brain with a tumor.
279,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
280,This is a T2 weighted image of a brain with a glioma tumor.
281,This is a T2 weighted image of a brain with a glioma tumor.
282,This is a T2 weighted image of a brain with a glioma tumor.
283,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
284,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
285,This is a T2 weighted image of a brain with a meningioma tumor.
286,This is a T2 weighted image of a brain with glioma tumor.
287,This is a T2 weighted image of a brain with a tumor.
288,This is a T2 weighted image of a brain with a tumor.
289,This is a T2 weighted image of a brain with a tumor.
290,This is a T1 weighted image of a brain with a tumor.
291,This is a T1 weighted image of a brain with a tumor.
292,This is a T2 weighted image of a brain with a meningioma tumor.
293,This is a T2 weighted image of a brain with a cystic lesion.
294,This is a T2 weighted image of a brain with a tumor.
295,This is a T1 weighted image of a brain with a tumor.
296,This is a T1 weighted image of a brain with a tumor.
297,This is a T1 weighted image of a brain with a tumor.
298,This is a T1 weighted image of a brain with a glioma tumor.
299,This is a T1 weighted image of a brain with a tumor.
300,This is a T1 weighted image of a brain with a tumor.
301,This is a T1 weighted image of a brain with a tumor.
302,This is a T1 weighted image of a brain with a tumor.
303,This is a T1 weighted image of a brain with a tumor.
304,This is a T2 weighted image of a brain with a tumor.
305,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
306,This is a T2 weighted image of a brain with a glioma tumor.
307,This is a T1 weighted image of a brain with a meningioma tumor.
308,This is a T1 weighted image of a brain with a meningioma tumor.
309,This is a T2 weighted image of a brain with a meningioma tumor.
310,This is a T2 weighted image of a brain with a tumor.
311,This is a T1 weighted image of a brain with a tumor.
312,This is a T2 weighted image of a brain with a tumor.
313,This is a T2 weighted image of a brain with a tumor.
314,This is a T2 weighted image of a brain with a meningioma tumor.
315,This is a T2 weighted image of a brain with a tumor.
316,This is a T1 weighted image of a brain with a pituitary tumor.
317,This is a T2 weighted image of a brain with a glioma tumor.
318,This is a T1 weighted image of a brain with a tumor.
319,This is a T2 weighted image of a brain with a glioma tumor.
320,This is a T2 weighted image of a brain with a tumor.
321,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
322,This is a T1 weighted image of a brain with a cystic tumor.
323,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
324,This is a T2 weighted image of a brain with a meningioma tumor.
325,This is a T1 weighted image of a brain with a tumor.
326,This is a T2 weighted image of a brain with a tumor.
327,This is a T2 weighted image of a brain with a tumor.
328,This is a T2 weighted image of a brain with a cystic tumor.
329,This is a T1 weighted image of a brain with a tumor.
330,This is a T1 weighted image of a brain with a glioblastoma tumor.
331,This is a T2 weighted image of a brain with a cystic tumor.
332,This is a T1 weighted image of a brain with a cystic tumor.
333,This is a T2 weighted image of a brain with a glioma tumor.
334,This is a T2 weighted image of a brain with a tumor.
335,This is a T2 weighted image of a brain with a cystic tumor.
336,This is a T2 weighted image of a brain with a tumor.
337,This is a T2 weighted image of a brain with a glioma tumor.
338,This is a T2 weighted image of a brain with a cystic tumor.
339,This is a T2 weighted image of a brain with a glioma tumor.
340,This is a T2 weighted image of a brain with a tumor.
341,This is a T1 weighted image of a brain with a cystic tumor.
342,This is a T2 weighted image of a brain with a cystic lesion.
343,This is a T2 weighted image of a brain with a meningioma tumor.
344,This is a T2 weighted image of a brain with a tumor.
345,This is a T1 weighted image of a brain with a cystic tumor.
346,This is a T2 weighted image of a brain with a tumor.
347,This is a T2 weighted image of a brain with a meningioma tumor.
348,This is a T2 weighted image of a brain with a glioma tumor.
349,This is a T2 weighted image of a brain with a tumor.
350,This is a T2 weighted image of a brain with a glioma tumor.
351,This is a T2 weighted image of a brain with a glioma tumor.
352,This is a T2 weighted image of a brain with a tumor.
353,This is a T2 weighted image of a brain with a glioma tumor.
354,This is a T2 weighted image of a brain with a glioma tumor.
355,This is a T1 weighted image of a brain with a tumor.
356,This is a T1 weighted image of a brain with a cystic lesion.
357,This is a T2 weighted image of a brain with a tumor.
358,This is a T2 weighted image of a brain with a meningioma tumor.
359,This is a T1 weighted image of a brain with a cystic tumor.
360,This is a T1 weighted image of a brain with a cystic tumor.
361,This is a T2 weighted image of a brain with a tumor.
362,This is a T1 weighted image of a brain with a tumor.
363,This is a T1 weighted image of a brain with a tumor.
364,This is a T1 weighted image of a brain with a tumor.
365,This is a T1 weighted image of a brain with a tumor.
366,This is a T1 weighted image of a brain with a tumor.
367,This is a T1 weighted image of a brain with a tumor.
368,This is a T1 weighted image of a brain with a tumor.
369,This is a T2 weighted image of a brain with a tumor.
370,This is a T2 weighted image of a brain with a tumor.
371,This is a T1 weighted image of a brain with a tumor.
372,This is a T1 weighted image of a brain with a tumor.
373,This is a T1 weighted image of a brain with a tumor.
374,This is a T2 weighted image of a brain with a cystic tumor.
375,This is a T2 weighted image of a brain with a glioma tumor.
376,This is a T2 weighted image of a brain with a glioma tumor.
377,This is a T2 weighted image of a brain with a tumor.
378,This is a T1 weighted image of a brain with a cystic lesion.
379,This is a T2 weighted image of a brain with a tumor.
380,This is a T1 weighted image of a brain with a glioma tumor.
381,This is a T1 weighted image of a brain with glioma tumor.
382,This is a T2 weighted image of a brain with a tumor.
383,This is a T2 weighted image of a brain with a tumor.
384,This is a T2 weighted image of a brain with a glioma tumor.
385,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
386,This is a T2 weighted image of a brain with a glioma tumor.
387,This is a T2 weighted image of a brain with a tumor.
388,This is a T2 weighted image of a brain with a tumor.
389,This is a T1 weighted image of a brain with a cystic lesion.
390,This is a T2 weighted image of a brain with a cystic tumor.
391,This is a T2 weighted image of a brain with a cystic tumor.
392,This is a T1 weighted image of a brain with a cystic tumor.
393,This is a T1 weighted image of a brain with a tumor.
394,This is a T1 weighted image of a brain with a tumor.
395,This is a T1 weighted image of a brain with a tumor.
396,This is a T1 weighted image of a brain with a tumor.
397,This is a T2 weighted image of a brain with a tumor.
398,This is a T1 weighted image of a brain with a tumor.
399,This is a T1 weighted image of a brain with a tumor.
400,This is a T2 weighted image of a brain with a cystic tumor.
401,This is a T1 weighted image of a brain with a tumor.
402,This is a T2 weighted image of a brain with a tumor.
403,This is a T2 weighted image of a brain with a tumor.
404,This is a T1 weighted image of a brain with a tumor.
405,This is a T1 weighted image of a brain with a tumor.
406,This is a T1 weighted image of a brain with a tumor.
407,This is a T1 weighted image of a brain with a tumor.
408,This is a T2 weighted image of a brain with a tumor.
409,This is a T2 weighted image of a brain with a meningioma tumor.
410,This is a T2 weighted image of a brain with a tumor.
411,This is a T1 weighted image of a brain with a cystic lesion.
412,This is a T1 weighted image of a brain with a tumor.
413,This is a T2 weighted image of a brain with a tumor.
414,This is a T2 weighted image of a brain with a tumor.
415,This is a T2 weighted image of a brain with a glioma tumor.
416,This is a T1 weighted image of a brain with a glioblastoma tumor.
417,This is a T2 weighted image of a brain with a glioma tumor.
418,This is a T2 weighted image of a brain with a glioma tumor.
419,This is a T2 weighted image of a brain with a tumor.
420,This is a T2 weighted image of a brain with a glioma tumor.
421,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
422,This is a T2 weighted image of a brain with glioma tumor.
423,This is a T2 weighted image of a brain with a glioma tumor.
424,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
425,This is a T2 weighted image of a brain with a glioma tumor.
426,This is a T2 weighted image of a brain with a tumor.
427,This is a T2 weighted image of a brain with a meningioma tumor.
428,This is a T2 weighted image of a brain with a tumor.
429,This is a T2 weighted image of a brain with a glioblastoma tumor.
430,This is a T1 weighted image of a brain with a glioma tumor.
431,This is a T2 weighted image of a brain with a cystic lesion.
432,This is a T2 weighted image of a brain with a cystic lesion.
433,This is a T1 weighted image of a brain with a tumor.
434,This is a T2 weighted image of a brain with a tumor.
435,This is a T2 weighted image of a brain with a glioma tumor.
436,This is a T2 weighted image of a brain with a cystic tumor.
437,This is a T2 weighted image of a brain with a glioma tumor.
438,This is a T2 weighted image of a brain with a glioma tumor.
439,This is a T2 weighted image of a brain with a glioblastoma tumor.
440,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
441,This is a T2 weighted image of a brain with a glioma tumor.
442,This is a T2 weighted image of a brain with a meningioma tumor.
443,This is a T2 weighted image of a brain with a cystic tumor.
444,This is a T2 weighted image of a brain with a glioma tumor.
445,This is a T2 weighted image of a brain with a tumor.
446,This is a T2 weighted image of a brain with a glioma tumor.
447,This is a T2 weighted image of a brain with a glioma tumor.
448,This is a T2 weighted image of a brain with glioma tumor.
449,This is a T2 weighted image of a brain with glioma tumor.
450,This is a T2 weighted image of a brain with a glioma tumor.
451,This is a T2 weighted image of a brain with a glioma tumor.
452,This is a T2 weighted image of a brain with a cystic tumor.
453,This is a T2 weighted image of a brain with a glioma tumor.
454,This is a T1 weighted image of a brain with a meningioma tumor.
455,This is a T2 weighted image of a brain with a meningioma tumor.
456,This is a T1 weighted image of a brain with a tumor.
457,This is a T2 weighted image of a brain with a glioma tumor.
458,This is a T2 weighted image of a brain with a tumor.
459,This is a T2 weighted image of a brain with a cystic tumor.
460,This is a T2 weighted image of a brain with a glioma tumor.
461,This is a T2 weighted image of a brain with a glioma tumor.
462,This is a T2 weighted image of a brain with a glioma tumor.
463,This is a T2 weighted image of a brain with a cystic tumor.
464,This is a T2 weighted image of a brain with a meningioma tumor.
465,This is a T2 weighted image of a brain with a meningioma tumor.
466,This is a T2 weighted image of a brain with a glioma tumor.
467,This is a T1 weighted image of a brain with a tumor.
468,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
469,This is a T2 weighted image of a brain with a meningioma tumor.
470,This is a T2 weighted image of a brain with a glioma tumor.
471,This is a T2 weighted image of a brain with a glioma tumor.
472,This is a T2 weighted image of a brain with a tumor.
473,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
474,This is a T2 weighted image of a brain with glioma tumor.
475,This is a T2 weighted image of a brain with glioma tumor.
476,This is a T2 weighted image of a brain with a tumor.
477,This is a T2 weighted image of a brain with a meningioma tumor.
478,This is a T1 weighted image of a brain with a tumor.
479,This is a T2 weighted image of a brain with a meningioma tumor.
480,This is a T2 weighted image of a brain with a meningioma tumor.
481,This is a T2 weighted image of a brain with a meningioma tumor.
482,This is a T2 weighted image of a brain with a meningioma tumor.
483,This is a T2 weighted image of a brain with a meningioma tumor.
484,This is a T2 weighted image of a brain with glioma tumor.
485,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
486,This is a T2 weighted image of a brain with a meningioma tumor.
487,This is a T2 weighted image of a brain with a glioma tumor.
488,This is a T2 weighted image of a brain with a pituitary tumor.
489,This is a T1 weighted image of a brain with a tumor.
490,This is a T2 weighted image of a brain with a glioma tumor.
491,This is a T2 weighted image of a brain with a glioma tumor.
492,This is a T2 weighted image of a brain with glioma tumor.
493,This is a T2 weighted image of a brain with a glioma tumor.
494,This is a T2 weighted image of a brain with a meningioma tumor.
495,This is a T1 weighted image of a brain with a meningioma tumor.
496,This is a T2 weighted image of a brain with a glioma tumor.
497,This is a T2 weighted image of a brain with a meningioma tumor.
498,This is a T2 weighted image of a brain with a glioma tumor.
499,This is a T2 weighted image of a brain with a meningioma tumor.
500,This is a T1 weighted image of a brain with a tumor.
501,This is a T2 weighted image of a brain with a tumor.
502,This is a T2 weighted image of a brain with a meningioma tumor.
503,This is a T2 weighted image of a brain with a glioma tumor.
504,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
505,This is a T2 weighted image of a brain with a tumor.
506,This is a T2 weighted image of a brain with a glioma tumor.
507,This is a T2 weighted image of a brain with a meningioma tumor.
508,This is a T2 weighted image of a brain with a glioma tumor.
509,This is a T2 weighted image of a brain with a meningioma tumor.
510,This is a T2 weighted image of a brain with a meningioma tumor.
511,This is a T1 weighted image of a brain with a tumor.
512,This is a T2 weighted image of a brain with a meningioma tumor.
513,This is a T2 weighted image of a brain with a cystic tumor.
514,This is a T2 weighted image of a brain with a glioma tumor.
515,This is a T2 weighted image of a brain with a glioma tumor.
516,This is a T2 weighted image of a brain with a glioma tumor.
517,This is a T2 weighted image of a brain with a glioma tumor.
518,This is a T2 weighted image of a brain with a glioma tumor.
519,This is a T2 weighted image of a brain with a glioma tumor.
520,This is a T2 weighted image of a brain with a glioma tumor.
521,This is a T2 weighted image of a brain with a tumor.
522,This is a T1 weighted image of a brain with a tumor.
523,This is a T2 weighted image of a brain with a tumor.
524,This is a T2 weighted image of a brain with a glioma tumor.
525,This is a T2 weighted image of a brain with a glioma tumor.
526,This is a T2 weighted image of a brain with glioma tumor.
527,This is a T2 weighted image of a brain with a glioma tumor.
528,This is a T2 weighted image of a brain with a glioma tumor.
529,This is a T2 weighted image of a brain with a tumor.
530,This is a T2 weighted image of a brain with a meningioma tumor.
531,This is a T2 weighted image of a brain with a meningioma tumor.
532,This is a T2 weighted image of a brain with a pituitary tumor.
533,This is a T1 weighted image of a brain with a tumor.
534,This is a T2 weighted image of a brain with a glioma tumor.
535,This is a T2 weighted image of a brain with a meningioma tumor.
536,This is a T2 weighted image of a brain with glioma tumor.
537,This is a T2 weighted image of a brain with glioma tumor.
538,This is a T2 weighted image of a brain with a glioma tumor.
539,This is a T2 weighted image of a brain with a glioma tumor.
540,This is a T2 weighted image of a brain with a glioma tumor.
541,This is a T2 weighted image of a brain with a glioma tumor.
542,This is a T2 weighted image of a brain with a glioma tumor.
543,This is a T2 weighted image of a brain with a tumor.
544,This is a T2 weighted image of a brain with a tumor.
545,This is a T2 weighted image of a brain with a glioma tumor.
546,This is a T2 weighted image of a brain with a glioma tumor.
547,This is a T2 weighted image of a brain with a meningioma tumor.
548,This is a T2 weighted image of a brain with a meningioma tumor.
549,This is a T2 weighted image of a brain with a glioma tumor.
550,This is a T2 weighted image of a brain with a glioma tumor.
551,This is a T2 weighted image of a brain with a glioma tumor.
552,This is a T2 weighted image of a brain with a glioma tumor.
553,This is a T2 weighted image of a brain with glioma tumor.
554,This is a T2 weighted image of a brain with glioma tumor.
